bodyparts,nose,nose
coords,x,y
250,305.8526611328130,496.7995910644530
251,304.3538818359380,498.2049255371090
252,303.84869384765600,493.59417724609400
253,288.08111572265600,470.1853942871090
254,286.8314514160160,462.6231994628910
255,286.72418212890600,455.7366027832030
256,283.3714294433590,453.512451171875
257,278.31585693359400,452.0447082519530
258,272.3511047363280,453.31793212890600
259,263.4200134277340,449.0160827636720
260,267.34674072265600,433.39581298828100
261,270.45709228515600,404.4390563964840
262,350.32806396484400,449.6915283203130
263,347.83258056640600,446.0787353515630
264,337.6921691894530,445.98980712890600
265,332.3357849121090,438.0448303222660
266,324.4024353027340,435.6102294921880
267,319.8624267578130,416.572265625
268,313.7155456542970,412.14593505859400
269,308.3197326660160,405.5990295410160
270,340.9439697265630,295.10150146484400
271,341.5003356933590,291.5494079589840
272,342.3752746582030,290.8311767578130
273,342.4559020996090,289.80316162109400
274,341.60260009765600,289.61480712890600
275,341.321533203125,289.7113037109380
276,579.888916015625,225.76890563964800
277,340.77130126953100,287.8265075683590
278,578.9563598632810,225.77798461914100
279,579.2713012695310,225.56640625
280,579.5841064453130,225.52923583984400
281,580.028564453125,225.46665954589800
282,339.05792236328100,249.0178680419920
283,339.115234375,248.9486541748050
284,340.6287536621090,249.62179565429700
285,338.4142761230470,248.35540771484400
286,336.7189636230470,249.3154296875
287,334.8338623046880,250.54798889160200
288,334.1759033203130,251.539306640625
289,334.17034912109400,252.13894653320300
290,336.2215576171880,250.5372772216800
291,581.0877685546880,224.85411071777300
292,351.8276672363280,277.9945373535160
293,439.4527893066410,430.48492431640600
294,299.4955139160160,401.8270263671880
295,311.3814392089840,421.81231689453100
296,326.9839782714840,436.8885803222660
297,336.36614990234400,446.74383544921900
298,345.7001647949220,453.4906005859380
299,347.5154724121090,472.3625793457030
300,355.8506164550780,481.81817626953100
301,359.1717529296880,488.19097900390600
302,593.9279174804690,227.73013305664100
303,367.7259521484380,514.568115234375
304,371.233154296875,519.748291015625
305,382.50457763671900,516.1553344726560
306,388.129638671875,512.55810546875
307,390.33551025390600,511.46710205078100
308,394.90985107421900,519.6057739257810
309,401.3178405761720,530.0
310,404.1430969238280,534.5225219726560
311,404.7127380371090,542.2916870117190
312,405.99468994140600,545.6824951171880
313,409.6396789550780,548.3660278320310
314,413.3025817871090,559.0372924804690
315,409.568603515625,573.8472290039060
316,407.6591796875,583.7095947265630
317,398.86175537109400,591.6683349609380
318,391.2860107421880,593.9533081054690
319,391.7874450683590,604.2252197265630
320,387.760009765625,617.4027099609380
321,389.1194152832030,625.0836791992190
322,391.4248962402340,635.3869018554690
323,393.7230529785160,640.5741577148440
324,396.09613037109400,646.7911376953130
325,390.2092590332030,651.4342041015630
326,387.65557861328100,660.10107421875
327,383.2727966308590,669.2865600585940
328,385.5626525878910,675.2968139648440
329,385.766357421875,676.5267944335940
330,389.17095947265600,680.502685546875
331,391.2052917480470,688.413330078125
332,394.3729248046880,701.6255493164060
333,390.304931640625,717.4647216796880
334,391.0325927734380,718.8314819335940
335,389.87139892578100,723.2201538085940
336,392.3765563964840,732.2413330078130
337,387.03924560546900,748.7559204101560
338,387.80047607421900,756.2072143554690
339,389.06378173828100,769.1980590820310
340,383.93695068359400,790.0245361328130
341,379.61907958984400,798.7391357421880
342,375.8572998046880,802.6882934570310
343,371.32586669921900,805.1884765625
344,358.95440673828100,806.6453247070310
345,346.78350830078100,804.255859375
346,340.9314270019530,804.3201293945310
347,336.1051940917970,806.22314453125
348,322.2582092285160,802.5613403320310
349,322.2654724121090,800.9388427734380
350,379.4837951660160,810.1832885742190
351,379.5381774902340,806.1701049804690
352,372.9070739746090,813.6405639648440
353,501.99676513671900,313.1876220703130
354,501.1501159667970,313.94744873046900
355,490.1723937988280,313.3717346191410
356,392.4578552246090,800.5910034179690
357,329.4751281738280,834.6862182617190
358,329.19256591796900,834.5411376953130
359,330.38665771484400,837.9215087890630
360,341.17864990234400,837.1944580078130
361,346.2085266113280,835.0173950195310
362,357.0795593261720,837.6047973632810
363,400.5712585449220,845.968017578125
364,406.8481140136720,856.0272827148440
365,415.2434997558590,861.9400634765630
366,423.0711975097660,862.3158569335940
367,430.5625305175780,867.4441528320310
368,434.08978271484400,869.1569213867190
369,446.05084228515600,874.0166015625
370,450.12847900390600,878.6275634765630
371,453.9046936035160,879.4055786132810
372,457.3717346191410,884.58447265625
373,466.36175537109400,884.4740600585940
374,473.88604736328100,871.6748046875
375,483.7557067871090,869.6524047851560
376,487.653076171875,866.06591796875
377,495.22540283203100,839.2938842773440
378,494.2618713378910,814.1384887695310
379,490.4944763183590,805.5797119140630
380,493.67236328125,791.49853515625
381,486.2156982421880,780.7510375976560
382,484.62762451171900,780.6200561523440
383,484.24224853515600,784.0337524414060
384,492.2080383300780,793.1868286132810
385,498.33453369140600,803.5283813476560
386,505.96240234375,807.9158325195310
387,506.60125732421900,810.034423828125
388,511.0174255371090,809.754638671875
389,513.1763305664060,817.8128051757810
390,452.18829345703100,839.3050537109380
391,342.69970703125,627.019287109375
392,450.8746643066410,825.1915893554690
393,453.5981750488280,820.8995971679690
394,521.7588500976560,758.0093383789060
395,546.0335693359380,828.1641845703130
396,549.2229614257810,819.4058227539060
397,552.6923217773440,809.99462890625
398,558.2225341796880,802.5877685546880
399,563.8190307617190,793.1008911132810
400,564.67236328125,785.5552978515630
401,573.926025390625,768.9946899414060
402,580.6180419921880,759.9657592773440
403,587.5924682617190,759.7469482421880
404,597.4523315429690,759.8801879882810
405,611.3697509765630,760.7352294921880
406,625.1665649414060,762.5271606445310
407,640.7399291992190,760.5545043945310
408,656.2531127929690,760.028076171875
409,671.17431640625,760.5611572265630
410,687.3839111328130,757.3032836914060
411,701.6710815429690,752.7962646484380
412,717.0497436523440,751.0338134765630
413,727.7760620117190,741.8280029296880
414,732.540771484375,736.7760620117190
415,745.0215454101560,741.0369262695310
416,756.8997192382810,742.3461303710940
417,763.1701049804690,743.6472778320310
418,764.8032836914060,742.91015625
419,771.7408447265630,738.8450317382810
420,773.599609375,745.2594604492190
421,774.1869506835940,750.4705200195310
422,766.9110107421880,765.6785278320310
423,768.0197143554690,784.4033813476560
424,772.0776977539060,791.995361328125
425,781.2772827148440,795.91552734375
426,796.1017456054690,803.0902709960940
427,811.04833984375,801.2215576171880
428,826.61328125,797.9229125976560
429,843.592041015625,802.8955078125
430,858.3167724609380,806.5752563476560
431,874.3949584960940,806.4351196289060
432,886.0088500976560,807.446533203125
433,893.0922241210940,801.2853393554690
434,902.912109375,799.8529663085940
435,906.5524291992190,798.5643920898440
436,914.8851318359380,794.2578125
437,922.8919067382810,790.3075561523440
438,926.7319946289060,786.5933227539060
439,939.427734375,786.7158813476560
440,953.6299438476560,787.6970825195310
441,954.73388671875,779.9132690429690
442,966.7192993164060,774.31201171875
443,968.0733642578130,773.3834228515630
444,968.5713500976560,773.2221069335940
445,964.286865234375,770.4700927734380
446,955.1328125,767.2008056640630
447,952.7098999023440,758.5027465820310
448,951.6644287109380,756.316162109375
449,949.166015625,746.2479248046880
450,947.113525390625,747.4620361328130
451,944.2984008789060,740.8232421875
452,939.5127563476560,740.5184326171880
453,929.5147705078130,736.3289794921880
454,919.1954956054690,747.2528076171880
455,916.4487915039060,764.0633544921880
456,910.2882080078130,772.5107421875
457,908.2786865234380,782.8380737304690
458,905.5662231445310,797.7157592773440
459,904.8355102539060,799.412353515625
460,915.5021362304690,792.6183471679690
461,930.6304321289060,796.6897583007810
462,942.8074951171880,799.90869140625
463,954.9298095703130,801.9401245117190
464,989.8159790039060,815.81005859375
465,909.1221313476560,726.3064575195310
466,972.501220703125,814.8799438476560
467,978.2571411132810,815.6455078125
468,983.7171020507810,815.43017578125
469,918.206298828125,726.2842407226560
470,934.3659057617190,732.7781372070310
471,892.6731567382810,832.641357421875
472,898.1203002929690,842.0038452148440
473,1009.3409423828100,820.6717529296880
474,1005.9293823242200,820.7186279296880
475,1001.704833984380,826.3442993164060
476,996.5621337890630,832.602783203125
477,988.9557495117190,847.7728271484380
478,981.7330322265630,857.003662109375
479,989.9044189453130,851.8486328125
480,787.0812377929690,724.3602905273440
481,786.2933349609380,725.1842651367190
482,964.7061767578130,866.1858520507810
483,962.5885009765630,869.9176025390630
484,964.318603515625,870.5103149414060
485,966.4163818359380,874.8433837890630
486,967.0187377929690,871.2932739257810
487,778.7011108398440,829.0464477539060
488,779.1512451171880,832.4816284179690
489,779.2183227539060,829.8324584960940
490,778.0928344726560,829.4888916015630
491,779.0960693359380,828.2637329101560
492,778.72802734375,827.7581787109380
493,779.1778564453130,828.3148193359380
494,779.3728637695310,828.705810546875
495,1096.1099853515600,834.0140380859380
496,771.3455200195310,833.6921997070310
497,771.9943237304690,833.2421264648440
498,772.2367553710940,833.0994262695310
499,772.3709716796880,833.028076171875
500,985.8073120117190,803.1509399414060
501,985.917724609375,802.447998046875
502,986.5780029296880,802.0779418945310
503,775.8026733398440,833.1690063476560
504,776.1177978515630,833.429443359375
