scorer,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000
bodyparts,nose,nose,nose,left ear,left ear,left ear,right ear,right ear,right ear,ear center,ear center,ear center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
46,403.26806640625,187.36611938476562,0.9793479442596436,354.9038391113281,236.7078857421875,0.9920815229415894,409.33428955078125,235.23080444335938,0.9939793348312378,383.3262634277344,237.7969970703125,0.9987156391143799
47,405.65118408203125,183.4842529296875,0.9692909121513367,354.3828125,234.93960571289062,0.9689759612083435,408.021728515625,230.94456481933594,0.995815098285675,382.8966979980469,234.22146606445312,0.9984455704689026
48,404.3271179199219,182.70193481445312,0.829619824886322,356.3612976074219,231.16517639160156,0.9770221710205078,409.0442810058594,227.09988403320312,0.9967479705810547,384.08880615234375,230.86032104492188,0.9994651675224304
49,403.11639404296875,181.3179473876953,0.9444512128829956,356.48297119140625,226.5487060546875,0.9921756386756897,408.6703796386719,223.49655151367188,0.9980431795120239,383.4076232910156,227.05247497558594,0.9996386766433716
50,396.699462890625,181.3020477294922,0.8155354261398315,356.00872802734375,223.87950134277344,0.9933575987815857,408.4372863769531,223.2006378173828,0.9983546137809753,382.8130798339844,225.49032592773438,0.999671220779419
51,402.7847900390625,180.37168884277344,0.9660401940345764,356.3915710449219,220.43978881835938,0.9908996820449829,408.3807067871094,221.53970336914062,0.9978607296943665,382.83740234375,223.0067138671875,0.9990173578262329
52,398.0076599121094,179.33021545410156,0.9494457840919495,356.0751037597656,217.98182678222656,0.9853447079658508,408.2315673828125,221.2917022705078,0.9978146553039551,382.37274169921875,221.1505889892578,0.9977389574050903
53,404.0762634277344,177.6875457763672,0.8471162915229797,358.5483093261719,211.61337280273438,0.9937815070152283,408.6026916503906,218.93276977539062,0.9964332580566406,384.5408020019531,216.4883270263672,0.9988695979118347
54,395.4817199707031,177.598876953125,0.8141477704048157,358.1000671386719,209.2277069091797,0.9947465062141418,408.3409118652344,218.90574645996094,0.9966133236885071,384.758544921875,216.00894165039062,0.9994296431541443
55,395.19158935546875,177.52670288085938,0.819810152053833,358.5844421386719,209.20985412597656,0.9944783449172974,408.77557373046875,219.47019958496094,0.9972520470619202,384.77508544921875,216.15599060058594,0.9995666146278381
56,396.4225158691406,177.581787109375,0.7815342545509338,356.5705871582031,210.2163848876953,0.9954559803009033,408.8697814941406,220.81211853027344,0.9973577857017517,383.61474609375,216.9698944091797,0.9989965558052063
57,404.4837646484375,177.95474243164062,0.7715026140213013,357.0328674316406,211.94021606445312,0.9940063953399658,407.6125183105469,223.30178833007812,0.997863233089447,383.4633483886719,220.13522338867188,0.998570442199707
58,410.1380310058594,180.26480102539062,0.7681635022163391,357.9729309082031,213.7877655029297,0.9891614317893982,409.1914367675781,224.90847778320312,0.9987419247627258,384.21063232421875,221.47312927246094,0.9989587068557739
59,417.2535400390625,182.9049072265625,0.8425784111022949,358.7142639160156,217.70249938964844,0.9831913113594055,411.94775390625,230.04249572753906,0.9979959726333618,385.70111083984375,225.8180389404297,0.9998486042022705
60,409.8203430175781,181.7437744140625,0.9450262784957886,357.2949523925781,220.24557495117188,0.9801382422447205,412.3742980957031,228.44326782226562,0.9983047246932983,385.31243896484375,226.52012634277344,0.9998440742492676
61,405.13201904296875,183.91171264648438,0.9627670049667358,355.5228271484375,223.18296813964844,0.9914912581443787,409.9911193847656,228.8944549560547,0.9977781176567078,383.5212097167969,229.4527130126953,0.999594509601593
62,405.04876708984375,185.10069274902344,0.9776401519775391,353.4793395996094,228.21636962890625,0.9876375198364258,409.7129821777344,232.4029998779297,0.9936127066612244,382.43048095703125,234.02960205078125,0.9989709854125977
63,377.5789794921875,190.7283477783203,0.8261591792106628,349.26165771484375,236.3988494873047,0.9712174534797668,409.4077453613281,234.2290496826172,0.9956444501876831,380.37945556640625,236.73817443847656,0.9990732669830322
64,371.064697265625,206.7803955078125,0.9851387143135071,346.5689392089844,250.77001953125,0.9837508797645569,403.97564697265625,241.12522888183594,0.9992389678955078,376.75390625,247.08152770996094,0.9987906813621521
65,365.1363830566406,219.09532165527344,0.9794530868530273,342.9349670410156,257.9483642578125,0.9936931133270264,396.96966552734375,243.95993041992188,0.9993247985839844,372.6236267089844,249.9266815185547,0.9983692765235901
66,353.202392578125,220.90928649902344,0.995512068271637,340.8489990234375,260.669189453125,0.9933335185050964,391.1710205078125,240.62550354003906,0.9990554451942444,366.49993896484375,249.56507873535156,0.99490886926651
67,346.58892822265625,218.7499237060547,0.9771230220794678,336.4771728515625,260.4976806640625,0.9964988231658936,387.7430114746094,238.48953247070312,0.9983389377593994,362.82916259765625,249.68821716308594,0.9958207607269287
68,339.1294250488281,211.63644409179688,0.9960840940475464,332.0068359375,260.3480529785156,0.9972643852233887,384.620361328125,236.6839141845703,0.9962336421012878,358.9879150390625,247.5807342529297,0.9989587068557739
69,334.5211486816406,203.95277404785156,0.42183181643486023,328.4368896484375,257.9739074707031,0.9966866374015808,380.0216064453125,234.6538543701172,0.9958206415176392,354.6930847167969,245.4097900390625,0.9997578263282776
70,327.4967041015625,196.2003173828125,0.6902089715003967,326.6787414550781,256.185302734375,0.995266318321228,376.5107116699219,231.61512756347656,0.9944453835487366,351.4221496582031,243.38284301757812,0.9996059536933899
71,328.2861328125,194.69775390625,0.797505795955658,325.61029052734375,257.3910217285156,0.9961381554603577,373.94537353515625,231.93736267089844,0.9969170093536377,349.6473083496094,244.81884765625,0.9995470643043518
72,326.71295166015625,193.7337646484375,0.7079811692237854,323.0652770996094,258.8323059082031,0.9917055368423462,370.30792236328125,231.33958435058594,0.9976692795753479,346.7319030761719,245.6490020751953,0.9996705055236816
73,326.94189453125,193.35789489746094,0.7289382219314575,322.394775390625,257.3045959472656,0.9926171898841858,370.17120361328125,231.4175567626953,0.9979689717292786,346.36029052734375,244.88833618164062,0.9997168183326721
74,326.9078063964844,192.29103088378906,0.8294799327850342,322.1866149902344,257.07470703125,0.9928493499755859,369.6523742675781,232.20333862304688,0.9976221919059753,346.6529541015625,245.46728515625,0.9996142387390137
75,326.80145263671875,192.2948760986328,0.8123951554298401,322.4716796875,256.7745056152344,0.9920233488082886,369.85308837890625,232.25320434570312,0.9975444674491882,346.6802062988281,245.5034637451172,0.9996594190597534
76,287.1955261230469,218.33389282226562,0.7974053025245667,321.80023193359375,257.67327880859375,0.9913722276687622,371.17388916015625,233.6216278076172,0.995369017124176,347.20208740234375,246.91188049316406,0.9995594620704651
